date,total_assets
2021-09-30,2341660.2614881457
2021-10-01,2259980.8907224596
2021-10-04,2289100.490301317
2021-10-05,2339831.308096117
2021-10-06,2376170.6576749743
2021-10-07,2371887.0157224596
2021-10-08,2405675.3928434313
2021-10-11,2431810.852590746
2021-10-12,2428200.977590746
2021-10-13,2420933.195806688
2021-10-14,2444373.3674146594
2021-10-15,2479605.5623380602
2021-10-18,2466706.384367174
2021-10-19,2463962.8441144885
2021-10-20,2445095.1661512316
2021-10-21,2426468.308096117
2021-10-22,2395856.638601488
2021-10-25,2341852.8292829455
2021-10-26,2372223.899198717
2021-10-27,2398840.778433031
2021-10-28,2450341.6470777453
2021-10-29,2446587.236067003
2021-11-01,2447309.25513286
2021-11-02,2401584.3186857165
2021-11-03,2376892.676740831
2021-11-04,2376652.077161974
2021-11-05,2489857.7042829455
2021-11-08,2465888.081403917
2021-11-09,2402691.2530118884
2021-11-10,2444517.683096117
2021-11-11,2479653.8144514025
2021-11-12,2493515.611067003
2021-11-15,2527592.8398801745
2021-11-16,2472818.9797117175
2021-11-17,2502805.134367174
2021-11-18,2552621.365301317
2021-11-19,2598924.00513286
2021-11-22,2565520.763601488
2021-11-23,2645900.632246203
2021-11-24,2566579.666143602
2021-11-26,2652927.8144514025
2021-11-29,2632520.0347883166
2021-11-30,2542128.6237775744
2021-12-01,2576494.7042829455
2021-12-02,2506992.4924222887
2021-12-03,2412461.975469774
2021-12-06,2519362.4394514025
2021-12-07,2554017.1513196887
2021-12-08,2539096.452161974
2021-12-09,2559889.3674146594
2021-12-10,2574665.7508909167
2021-12-13,2466754.4161512316
2021-12-14,2600512.3589460314
2021-12-15,2520710.1936857165
2021-12-16,2551658.7466566027
2021-12-17,2549011.490301317
2021-12-20,2587709.464872545
2021-12-21,2670158.8864881457
2021-12-22,2703947.263609117
2021-12-23,2735521.7720777453
2021-12-27,2718049.8801328596
2021-12-28,2712707.335638231
2021-12-29,2702214.5941144885
2021-12-30,2679785.293264574
2021-12-31,2619380.036909288
2022-01-03,2522105.979704088
2022-01-04,2429981.899198717
2022-01-05,2564991.312330431
2022-01-06,2529277.477590746
2022-01-07,2515415.680975145
2022-01-10,2531972.9860593737
2022-01-11,2560707.4500486315
2022-01-12,2399851.428861803
2022-01-13,2402306.1174222887
2022-01-14,2417997.087759203
2022-01-18,2500976.180975145
2022-01-19,2501264.8123380602
2022-01-20,2327798.464872545
2022-01-21,2426853.4436857165
2022-01-24,2288523.0072462023
2022-01-25,2292229.166143602
2022-01-26,2335451.3822462023
2022-01-27,2388155.4691144885
2022-01-28,2490338.9034406603
2022-01-31,2468487.305975145
2022-02-01,2451833.716993517
2022-02-02,2370058.062330431
2022-02-03,2481193.9161512316
2022-02-04,2459438.3822538317
2022-02-07,2470364.2911512316
2022-02-08,2572595.977590746
2022-02-09,2540155.354704088
2022-02-10,2455443.591993517
2022-02-11,2507762.763601488
2022-02-14,2533657.4034406603
2022-02-15,2533705.6555540026
2022-02-16,2402450.653433031
2022-02-17,2320771.0623380602
2022-02-18,2288715.3547117175
2022-02-22,2298823.180975145
2022-02-23,2598827.72123546
2022-02-24,2742308.354704088
2022-02-25,2860230.7911512316
2022-02-28,2776000.44792766
2022-03-01,2801558.42461986
2022-03-02,2759924.562330431
2022-03-03,2683395.168264574
2022-03-04,2567879.168264574
2022-03-07,2527641.091993517
2022-03-08,2670880.9055540026
2022-03-09,2656152.553861803
2022-03-10,2628139.888609117
2022-03-11,2528411.1428434313
2022-03-14,2599405.4246198596
2022-03-15,2666115.8441144885
2022-03-16,2715402.6237775744
2022-03-17,2777299.950048632
2022-03-18,2778166.2847959464
2022-03-21,2875488.5941144885
2022-03-22,2907351.733946032
2022-03-23,2994566.437330431
2022-03-24,2995721.4034406603
2022-03-25,3009439.104704088
2022-03-28,2967371.854711717
2022-03-29,2963713.94792766
2022-03-30,2996250.854711717
2022-03-31,2941380.930975145
2022-04-01,3023156.585638231
2022-04-04,2989656.8398801745
2022-04-05,2920636.0475065173
2022-04-06,2967179.507246203
2022-04-07,2927518.91403026
2022-04-08,2940370.0602170886
2022-04-11,2945135.1216566027
2022-04-12,3027536.5114881457
2022-04-13,3016803.170385545
2022-04-14,2973532.702169603
2022-04-18,3025370.67461986
2022-04-19,3013867.0623380602
2022-04-20,2849401.1661512316
2022-04-21,2751116.4585172595
2022-04-22,2886607.0708066877
2022-04-25,2795445.608946032
2022-04-26,2785963.7381803454
2022-04-27,2833710.4161436027
2022-04-28,2701540.827161974
2022-04-29,2752897.1597959464
2022-05-02,2685464.7212354597
2022-05-03,2662987.388601488
2022-05-04,2549252.0898801745
2022-05-05,2430029.9309827746
2022-05-06,2211704.7614881457
2022-05-09,2329771.7339460314
2022-05-10,2246167.1258909167
2022-05-11,2303154.8547117175
2022-05-12,2363319.5114881457
2022-05-13,2253434.9076749743
2022-05-16,2277933.9818250597
2022-05-17,2111061.428861803
2022-05-18,2100328.087759203
2022-05-19,2303973.1576749743
2022-05-20,2407889.4818250597
2022-05-23,2296560.8398801745
2022-05-24,2433110.3547117175
2022-05-25,2416649.333524889
2022-05-26,2439319.4542829455
2022-05-27,2419970.577161974
2022-05-31,2414916.66403026
2022-06-01,2490050.2720777453
2022-06-02,2467139.551740831
2022-06-03,2474070.4500486315
2022-06-06,2536545.479704088
2022-06-07,2526341.589872545
2022-06-08,2484322.591993517
2022-06-09,2383582.975469774
2022-06-10,2299400.66403026
2022-06-13,2318172.058096117
2022-06-14,2344114.9500486315
2022-06-15,2244434.236067003
2022-06-16,2287993.555975145
2022-06-17,2403509.555975145
2022-06-21,2379251.081403917
2022-06-22,2421366.3631803454
2022-06-23,2458138.88013286
2022-06-24,2415638.683096117
2022-06-27,2367651.4055540026
2022-06-28,2367121.9542829455
2022-06-29,2377422.1280118884
2022-06-30,2446298.604704088
2022-07-01,2508340.2466566027
2022-07-05,2478594.9119092883
2022-07-06,2489617.104704088
2022-07-07,2523164.8822462023
2022-07-08,2483167.4055540026
2022-07-11,2370876.144964403
